session_num,file_key,team_id,session_id,participant_id,condition,run_order,timestamp,event_name,message_id,insight_id
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-02,AI_ON,BA,2026-03-19T09:52:53.973Z,focus_insight_from_marker,b9e69365-0c26-4ddc-95e8-f45621781702,08fd5ea5-9bfa-4b76-a239-887ce0cf310f
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:57:27.079Z,focus_insight_from_marker,b9e69365-0c26-4ddc-95e8-f45621781702,08fd5ea5-9bfa-4b76-a239-887ce0cf310f
2,2/1 willson/session-study-team-01-timeline.json,study-team-01,bcc50e9e-16fe-41e4-83a9-427dc9fea108,study-user-01,AI_ON,AB,2026-03-25T08:07:41.101Z,focus_insight_from_agent_message,0222b9b9-e1d7-4e28-8815-36868fa713fe,ad3f5bca-212c-41f8-9ac5-dc49272bb88e
2,2/2 aly/session-study-team-02-timeline.json,study-team-02,session-1774423145554-io7twprp,study-user-02,AI_ON,AB,2026-03-25T07:26:05.821Z,focus_insight_from_marker,a66d79bd-c55a-4a09-a601-31d57cc01dbe,15828b73-4646-4ac1-bace-e6c5e0767da4
2,2/2 aly/session-study-team-02-timeline.json,study-team-02,session-1774423145554-io7twprp,study-user-02,AI_ON,AB,2026-03-25T07:26:05.821Z,focus_insight_from_marker,a66d79bd-c55a-4a09-a601-31d57cc01dbe,15828b73-4646-4ac1-bace-e6c5e0767da4
2,2/2 aly/session-study-team-02-timeline.json,study-team-02,session-1774423145554-io7twprp,study-user-02,AI_ON,AB,2026-03-25T07:26:40.447Z,focus_insight_from_marker,546cde8b-204c-4645-b45d-b13f444219ec,542cc6b6-3272-456a-944a-c8bbaca140ad
2,2/2 aly/session-study-team-02-timeline.json,study-team-02,session-1774423145554-io7twprp,study-user-02,AI_ON,AB,2026-03-25T08:08:50.851Z,focus_insight_from_marker,6159c65b-90c8-448c-a860-a8fc336a9c9e,31f5a2b9-0420-4b87-b3e6-0a1c5ea37734
2,2/3 roys/session-study-team-03-timeline.json,study-team-03,session-1774423176213-g9a2idqc,study-user-03,AI_ON,AB,2026-03-25T07:34:04.117Z,focus_insight_from_agent_message,f5695286-5b09-4350-b860-9dbfedefb640,09120593-e06d-489c-8ce9-e04ca4c1ae63
2,2/3 roys/session-study-team-03-timeline.json,study-team-03,session-1774423176213-g9a2idqc,study-user-03,AI_ON,AB,2026-03-25T08:05:22.856Z,focus_insight_from_marker,62abee3a-92e5-493e-bc53-5a44c76dcc3d,81fa1e3e-ae49-499b-bc9e-4fe9abfe4245
2,2/3 roys/session-study-team-03-timeline.json,study-team-03,session-1774423176213-g9a2idqc,study-user-03,AI_ON,AB,2026-03-25T08:10:24.529Z,focus_insight_from_marker,62abee3a-92e5-493e-bc53-5a44c76dcc3d,81fa1e3e-ae49-499b-bc9e-4fe9abfe4245
2,2/3 roys/session-study-team-03-timeline.json,study-team-03,session-1774423176213-g9a2idqc,study-user-03,AI_ON,AB,2026-03-25T08:10:24.529Z,focus_insight_from_marker,576f8167-ec9b-425b-b128-13073bf6224f,8f54ec71-9347-4673-9162-2724af54d829
2,2/3 roys/session-study-team-03-timeline.json,study-team-03,session-1774423176213-g9a2idqc,study-user-03,AI_ON,AB,2026-03-25T08:10:33.354Z,focus_insight_from_marker,62abee3a-92e5-493e-bc53-5a44c76dcc3d,81fa1e3e-ae49-499b-bc9e-4fe9abfe4245
2,2/3 roys/session-study-team-03-timeline.json,study-team-03,session-1774423176213-g9a2idqc,study-user-03,AI_ON,AB,2026-03-25T08:11:00.075Z,focus_insight_from_marker,576f8167-ec9b-425b-b128-13073bf6224f,8f54ec71-9347-4673-9162-2724af54d829
2,2/4 ai on/session-study-team-04-timeline.json,study-team-04,bcc50e9e-16fe-41e4-83a9-427dc9fea108,study-user-01,AI_ON,AB,2026-03-25T08:20:34.163Z,focus_insight_from_marker,5baf59e3-2d0f-469e-be25-8fd41d045477,c8105164-7d9c-421d-954c-325d52736c22
2,2/4 ai on/session-study-team-04-timeline.json,study-team-04,bcc50e9e-16fe-41e4-83a9-427dc9fea108,study-user-01,AI_ON,AB,2026-03-25T08:20:57.251Z,focus_insight_from_marker,5f90852c-9fef-44ec-b959-ea42648b7974,53da09bc-dfae-498b-83d8-3667dd317687
2,2/4 ai on/session-study-team-04-timeline.json,study-team-04,bcc50e9e-16fe-41e4-83a9-427dc9fea108,study-user-01,AI_ON,AB,2026-03-25T08:22:35.994Z,focus_insight_from_marker,4fa95256-e8e4-4f69-a706-0a05a7967b0c,efb0e23f-b123-4462-9af0-5f465ed9e1ed
3,3/1 aung/session-study-team-01-timeline.json,study-team-01,session-1774510353943-xxpeb11f,study-user-01,AI_ON,AB,2026-03-26T07:55:15.941Z,focus_insight_from_marker,c3676a83-5fd7-4b8b-ad52-7f7b073b9484,89525a41-d5d0-4364-afdf-29d422a46533
3,3/1 aung/session-study-team-01-timeline.json,study-team-01,session-1774510353943-xxpeb11f,study-user-01,AI_ON,AB,2026-03-26T07:55:27.559Z,jump_to_chat_marker,,89525a41-d5d0-4364-afdf-29d422a46533
3,3/1 aung/session-study-team-01-timeline.json,study-team-01,session-1774510353943-xxpeb11f,study-user-01,AI_ON,AB,2026-03-26T07:55:27.559Z,focus_chat_marker_from_insight,,89525a41-d5d0-4364-afdf-29d422a46533
